;ad_id;catalog_url
0;1545570;no catalog
1;4066033;http://katalogus.hasznaltauto.hu/opel/astra_1.4_enjoy-24141
2;4109007;http://katalogus.hasznaltauto.hu/saab/900_2.5_v6_se-33271
3;4246385;http://katalogus.hasznaltauto.hu/seat/leon_1.4_16v_reference-34982
4;5440448;http://katalogus.hasznaltauto.hu/mercedes-benz/sl_55_amg_automata-19704
5;5624476;http://katalogus.hasznaltauto.hu/peugeot/307_break_1.4_sphere-28238
6;5677158;http://katalogus.hasznaltauto.hu/renault/laguna_2.0_dci_privilege-32473
7;5730604;http://katalogus.hasznaltauto.hu/renault/megane_1.6_16v_authentique-30908
8;5795829;http://katalogus.hasznaltauto.hu/audi/a8_quattro_4.2_tiptronic-3333
9;6201706;http://katalogus.hasznaltauto.hu/bmw/520d-4625
10;6338157;http://katalogus.hasznaltauto.hu/volvo/xc90_2.9_t6_executive_automata-62430
11;6468915;http://katalogus.hasznaltauto.hu/bmw/328i-3790
12;6630246;no catalog
13;6760357;http://katalogus.hasznaltauto.hu/peugeot/607_2.2_executive-29139
14;6785859;http://katalogus.hasznaltauto.hu/bmw/z1_2.5-5000
15;6898586;http://katalogus.hasznaltauto.hu/subaru/outback_2.0_d_comfort_navi-38075
16;6977390;http://katalogus.hasznaltauto.hu/bmw/320d_touring_automata-4036
17;7227705;http://katalogus.hasznaltauto.hu/peugeot/806_2.1_td_stdt-29303
18;7357333;http://katalogus.hasznaltauto.hu/bmw/x5_m50d_aut.-59141
19;7384076;http://katalogus.hasznaltauto.hu/seat/ibiza_1.9_d_e-34485
20;7400818;no catalog
21;7462379;http://katalogus.hasznaltauto.hu/bmw/328i-3790
22;7840311;http://katalogus.hasznaltauto.hu/skoda/fabia_1.4_classic-35686
23;8257194;no catalog
24;8260445;http://katalogus.hasznaltauto.hu/bmw/z1_2.5-5000
25;8383217;http://katalogus.hasznaltauto.hu/bmw/320d_touring_efficientdynamics-4167
26;8641243;http://katalogus.hasznaltauto.hu/alfa_romeo/mito_1.4_t_multiair_distinctive-14
27;8680236;http://katalogus.hasznaltauto.hu/suzuki/swift_sedan_1.3_gl-38291
28;8740746;http://katalogus.hasznaltauto.hu/mercedes-benz/e_220_cdi_avantgarde-18730
